Date,Open,High,Low,Close,Volume
2020-01-16,8.0,8.2,8.0,8.0,12000.0
2020-01-17,8.0,8.01,8.0,8.01,2000.0
2020-01-20,8.0,8.0,7.75,7.75,2000.0
2020-01-23,8.0,8.0,7.75,7.75,4500.0
2020-01-29,7.5,7.5,7.5,7.5,5000.0
2020-01-30,7.75,8.0,6.5,7.3,4500.0
2020-02-04,7.25,7.25,7.25,7.25,500.0
2020-02-06,0.0,7.75,7.75,7.25,1000.0
2020-02-10,7.25,7.25,7.25,7.25,1000.0
2020-02-12,7.5,7.5,7.25,7.5,1000.0
2020-02-14,7.5,7.5,7.5,7.5,500.0
2020-02-21,7.01,7.01,7.01,7.01,500.0
2020-02-24,7.01,7.01,7.01,7.01,500.0
2020-03-02,7.0,7.0,7.0,7.0,500.0
2020-03-05,7.49,7.5,7.49,7.5,3500.0
2020-03-09,6.55,7.0,6.55,6.55,2000.0
2020-03-10,7.0,7.0,7.0,7.0,1000.0
2020-03-13,8.0,8.0,8.0,8.0,500.0
2020-03-16,7.0,7.0,7.0,7.0,500.0
2020-03-18,6.0,6.0,6.0,6.0,500.0
2020-03-19,6.0,6.0,5.51,5.51,1500.0
2020-03-25,4.56,4.56,4.51,4.52,8500.0
2020-03-26,4.33,4.5,4.0,4.2,12000.0
2020-03-27,5.0,5.0,4.0,4.08,8500.0
2020-03-30,4.4,4.9,4.4,4.82,5500.0
2020-04-01,5.0,5.0,5.0,5.0,2500.0
2020-04-02,4.51,4.98,4.5,4.84,98500.0
2020-04-03,5.25,5.25,5.05,5.25,8500.0
2020-04-06,0.0,5.25,5.25,5.25,34500.0
2020-04-07,5.0,5.0,5.0,5.0,2000.0
2020-04-09,5.49,5.49,5.0,5.0,2500.0
2020-04-10,5.4,5.4,5.01,5.21,1000.0
2020-04-13,5.49,5.49,4.76,4.81,3000.0
2020-04-14,5.2,5.25,4.81,5.25,13500.0
2020-04-15,5.1,5.48,5.1,5.29,22500.0
2020-04-17,5.56,5.74,5.5,5.5,6000.0
2020-04-20,5.12,5.94,5.12,5.65,3000.0
2020-04-21,5.99,5.99,5.99,5.99,2000.0
2020-04-23,6.19,6.19,6.19,6.19,500.0
2020-04-24,0.0,5.9,5.9,6.19,500.0
2020-04-27,6.47,6.47,6.47,6.47,500.0
2020-04-28,6.89,6.89,6.89,6.89,500.0
2020-04-29,5.9,5.9,5.89,5.89,8500.0
2020-04-30,6.79,6.79,5.98,5.99,8500.0
2020-05-04,6.24,6.24,5.99,5.99,1500.0
2020-05-05,5.33,5.33,5.33,5.33,1000.0
2020-05-06,5.7,5.8,5.7,5.78,4000.0
2020-05-07,5.98,6.0,5.9,6.0,41500.0
2020-05-11,6.0,6.0,6.0,6.0,2500.0
2020-05-13,5.85,5.85,5.85,5.85,1000.0
2020-05-14,5.85,6.02,5.85,6.02,5000.0
2020-05-15,6.12,6.5,6.12,6.25,9000.0
2020-05-18,6.01,6.01,6.0,6.0,1000.0
2020-05-19,6.25,6.25,6.25,6.25,2000.0
2020-05-21,6.0,6.1,5.82,6.1,1500.0
2020-05-29,0.0,6.5,6.5,6.1,500.0
2020-06-01,6.39,6.4,6.39,6.4,2000.0
2020-06-03,0.0,6.25,6.25,6.4,500.0
2020-06-08,6.25,6.25,6.25,6.25,500.0
2020-06-09,6.24,6.25,6.01,6.01,11500.0
2020-06-10,6.0,6.0,6.0,6.0,12500.0
2020-06-11,6.35,6.35,6.0,6.0,3000.0
2020-06-16,6.0,6.0,6.0,6.0,7500.0
2020-06-17,6.08,6.08,6.0,6.0,2000.0
2020-06-18,6.0,6.0,6.0,6.0,2500.0
2020-06-19,6.0,6.0,6.0,6.0,1000.0
2020-06-23,6.0,6.0,6.0,6.0,1000.0
2020-06-24,6.2,6.25,6.2,6.25,1000.0
2020-06-25,5.92,5.92,5.51,5.81,2000.0
2020-06-26,5.79,5.8,5.79,5.8,10000.0
2020-07-01,5.8,5.8,5.8,5.8,1500.0
2020-07-02,6.0,6.0,6.0,6.0,2500.0
2020-07-06,6.2,7.0,6.2,7.0,120500.0
2020-07-07,7.9,7.9,7.0,7.06,72500.0
2020-07-08,7.0,7.1,6.53,7.1,5000.0
2020-07-09,6.7,7.2,6.7,7.05,21000.0
2020-07-10,7.0,7.25,7.0,7.25,12000.0
2020-07-13,7.25,7.5,7.25,7.49,6500.0
2020-07-14,7.25,7.25,7.15,7.15,17000.0
2020-07-15,7.5,7.5,7.5,7.5,1000.0
2020-07-16,7.15,7.15,7.0,7.01,12000.0
2020-07-17,7.45,7.45,7.0,7.0,10500.0
2020-07-20,7.0,7.5,7.0,7.46,91000.0
2020-07-21,7.7,7.7,7.3,7.3,11500.0
2020-07-22,6.8,7.29,6.81,7.29,7000.0
2020-07-23,7.01,7.01,6.3,6.87,67000.0
2020-07-24,7.0,7.17,6.8,6.84,14000.0
2020-07-27,7.0,7.1,6.7,7.06,14500.0
2020-07-28,7.0,7.1,6.9,6.96,20000.0
2020-07-29,6.9,6.9,6.9,6.9,500.0
2020-07-30,7.1,7.1,7.1,7.1,1500.0
2020-08-03,7.2,7.75,7.1,7.75,7500.0
2020-08-04,7.11,7.5,7.1,7.47,14500.0
2020-08-05,7.45,8.0,7.25,7.43,14500.0
2020-08-06,7.88,7.9,7.5,7.5,3500.0
2020-08-07,7.9,8.24,7.35,7.64,17000.0
2020-08-10,7.3,7.64,7.3,7.55,5000.0
2020-08-11,7.5,7.5,7.4,7.4,8500.0
2020-08-12,7.9,8.0,7.6,7.6,2000.0
2020-08-13,7.65,8.0,7.65,7.94,5000.0
2020-08-17,8.0,8.0,7.7,7.7,7500.0
2020-08-18,8.0,8.2,7.9,8.0,3000.0
